cian_id,city,street,lat,lon,price_sq,area,floor,kitchen_area,bathroom_type,balconies,renovation,is_apartment,rooms,ceiling_height,house_floors,house_wall_type,lifts,freight_lifts,time_on_foot_to_subway,build_year
295671524,Москва,Планерная улица,55.864849,37.439032,321100.917431193,32.7,3,0,Совмещенный,0,Косметический,False,1,2.7,9,,1,,5,1967
295673187,Москва,Сумской проезд,55.632896,37.599157,292307.692307692,32.5,1,7,Совмещенный,0,Косметический,False,1,2.7,9,,1,0,5,1969
295680663,Москва,Ореховый бульвар,55.61086,37.705904,253561.253561254,35.1,1,7.5,Совмещенный,,Косметический,False,1,2.7,9,,1,,5,
295707621,Москва,Клинская улица,55.866718,37.500603,298437.5,32,2,6.5,Совмещенный,0,Косметический,False,1,2.7,9,,1,,4,1968
295712851,Москва,Ореховый бульвар,55.607595,37.707,300000,35,9,6.3,Совмещенный,1,Косметический,False,1,2.7,9,,1,,5,1974
295719753,Москва,Рязанский проспект,55.715931,37.804179,296686.746987952,33.2,8,6,Совмещенный,,Косметический,,1,2.7,9,,1,0,7,
295721038,Москва,улица Николая Химушина,55.820809,37.757898,312500,32,5,5.6,Совмещенный,1,Косметический,False,1,2.7,5,,0,0,7,1963
295721461,Москва,улица Куусинена,55.794603,37.509254,437888.198757764,32.2,2,8.8,Совмещенный,0,Косметический,False,1,2.7,5,,0,0,9,1961
295730071,Москва,улица Подольских Курсантов,55.607143,37.616198,318181.818181818,33,6,6.7,Совмещенный,,Косметический,,1,2.7,9,,1,,4,1973
295731449,Москва,Липецкая улица,55.597902,37.670591,267908.309455587,34.9,6,0,Совмещенный,0,Косметический,False,1,2.7,16,,1,1,5,1977
295740178,Москва,Алтайская улица,55.819656,37.832872,280000,35,3,7,Совмещенный,0,Косметический,False,1,2.7,9,,1,,5,1980
295750919,Москва,Ботаническая улица,55.822908,37.602166,355263.157894737,30.4,1,6,Совмещенный,0,Косметический,False,1,2.7,5,,0,0,7,1961
295756741,Москва,улица Николая Химушина,55.825482,37.767106,288188.976377953,38.1,1,8,Совмещенный,0,Косметический,False,1,2.7,14,,1,1,7,1997
