,price_sq,lat,lon,area,floor,kitchen_area,balconies,renovation,is_apartment,rooms,ceiling_height,house_floors,lifts,freight_lifts,time_on_foot_to_subway,build_year,bathroom_type,house_wall_type
15769,280028.59866539564,55.7306875653521,37.8516446071308,41.96,2.0,0.0,,Без ремонта,False,,,9.0,,,3.0,2025.0,,
15772,252000.00000000003,55.7306875653521,37.8516446071308,22.15,2.0,0.0,,Евро,False,,,9.0,,,3.0,2025.0,,
15785,252000.00000000003,55.7306875653521,37.8516446071308,22.15,2.0,0.0,,Евро,False,,,9.0,,,3.0,2025.0,,
15786,254000.00000000003,55.7306875653521,37.8516446071308,22.15,3.0,0.0,,Дизайнерский,False,,,9.0,,,3.0,2025.0,,
15787,252000.0,55.7306875653521,37.8516446071308,27.57,2.0,0.0,,Евро,False,,,9.0,,,3.0,2025.0,,
15788,252000.00000000003,55.7306875653521,37.8516446071308,22.08,2.0,0.0,,Евро,False,,,9.0,,,3.0,2025.0,,
15790,252000.0,55.7306875653521,37.8516446071308,22.19,2.0,0.0,,Евро,False,,,9.0,,,3.0,2025.0,,
15792,252000.0,55.7306875653521,37.8516446071308,23.02,2.0,0.0,,Евро,False,,,9.0,,,3.0,2025.0,,
15794,254000.0,55.7306875653521,37.8516446071308,22.75,3.0,0.0,,Евро,False,,,9.0,,,3.0,2025.0,,
15796,258000.0,55.7306875653521,37.8516446071308,24.92,3.0,0.0,,Евро,False,,,9.0,,,3.0,2025.0,,
15797,258000.0,55.7306875653521,37.8516446071308,24.92,3.0,0.0,,Евро,False,,,9.0,,,3.0,2025.0,,
15798,254000.00000000003,55.7306875653521,37.8516446071308,22.24,3.0,0.0,,Евро,False,,,9.0,,,3.0,2025.0,,
